city,address,postalCode,latitude,longitude,features,hasArtwork,storeName,storeNumber,closeTime,openTime
嘉兴市,浙江省嘉兴市None桐乡市振兴东路439号一层1001单元,314000,30.628283,120.589169,"['OG', 'DL', 'MIC', 'PO']",False,嘉兴桐乡吾悦广场店,50567-275130,22:00:00,07:30:00
嘉兴市,海昌南路365号,314000,30.500586,120.69281,"['OG', 'DL', 'MIC', 'PO']",False,嘉兴海宁银泰城店,21245-210306,22:30:00,07:30:00
嘉兴市,浙江省海宁市海洲街道海昌南路365号银泰None城1F158号铺位,314000,30.50133,120.693041,"['OG', 'DL', 'MIC']",False,海宁银泰城1号门店,58789-293042,22:00:00,08:00:00
嘉兴市,联合路97号海宁正翔商业广场海宁正翔商业广场1层1021商铺,314000,30.520237,120.682559,"['OG', 'DL']",False,嘉兴海宁正翔店,27018-246349,22:00:00,07:00:00
嘉兴市,浙江省嘉兴市None海宁市工人路85号一层101单元,314000,30.527613,120.6921,"['OG', 'DL']",False,嘉兴海宁爱琴海购物公园,54404-286672,22:00:00,07:30:00
杭州市,浙江省杭州市（桐庐服务区南区N02商铺）桐庐县江南镇小潘村,310000,29.841133,119.805393,['OG'],False,G25桐庐服务南区店,29880-255565,21:00:00,07:00:00
杭州市,浙江省杭州市（桐庐服务区北区N02商铺）桐庐县江南镇小潘村,310000,29.842333,119.80068,['OG'],False,G25桐庐服务北区店,29879-255564,21:00:00,07:00:00
湖州市,安吉县云鸿东路1号None安吉浙北大厦,313000,30.624061,119.685638,"['OG', 'DL']",False,湖州安吉浙北大厦店,24342-236947,22:00:00,07:30:00
湖州市,昌硕街道递铺中路19号1号楼None安吉经典1958,313000,30.637628,119.693778,"['OG', 'DL']",False,湖州安吉经典1958店,27582-247685,22:00:00,08:00:00
嘉兴市,浙江省嘉兴市None桐乡市乌镇子夜路72号一层58-1、60、60-1、104、105单元,314000,30.738336,120.4944,"['OG', 'DL', 'PO']",False,嘉兴桐乡乌镇子夜路店,51618-278747,22:00:00,08:00:00
绍兴市,艮塔路28号None雄风百货,312000,29.720047,120.241721,"['OG', 'DL']",False,绍兴诸暨老雄风店,24900-239044,22:30:00,08:00:00
